# n_datapoints (per type)  : 50000 
# steps/maturity : 200 
# n_paths/option : 15000 
# Stock price : (90, 110) 
# Strike price : (0.4, 1.6) 
# Maturity : (1, 60) 
# Interest rate : (0.01, 0.035) 
# Start Volatility : (0.01, 0.1) 
# Long term volatility : (0.01, 0.1) 
# Rate of mean reversion : (1.4, 2.6) 
# Volatility of volatility stock : (0.45, 0.75) 
# Correlation (brownian motions) : (-0.85, -0.5) 
# Seed values : 45 
# Seed paths : 76 
# Forward pricing : False 
stock_price,strike_price,strike_price_percent,interest_rate,maturity,start_vol,long_term_vol,rate_reversion,vol_of_vol,correlation,call/put,opt_standard,opt_asianmean,opt_lookbackmin,opt_lookbackmax
91.48139439421819,72.50229026931234,0.7925359112573238,0.012584422309619902,4,0.09449577384226304,0.04535408750483412,1.8601449390713174,0.6199723914788129,-0.6065318639281382,C,28.774529091681764,9.181836968928797,30.361746172567713,0.0
91.48139439421819,72.50229026931234,0.7925359112573238,0.012584422309619902,4,0.09449577384226304,0.04535408750483412,1.8601449390713174,0.6199723914788129,-0.6065318639281382,P,6.068876819864439,6.821862573671521,0.0,25.48849006590399
91.93600014262023,101.91612375367033,1.108555120905499,0.012057960883524316,12,0.025381969472377315,0.096586159684808,2.427469036674739,0.6256778411479508,-0.7204556056925158,C,36.52849115140396,23.886209369294992,57.80080586183351,0.0
91.93600014262023,101.91612375367033,1.108555120905499,0.012057960883524316,12,0.025381969472377315,0.096586159684808,2.427469036674739,0.6256778411479508,-0.7204556056925158,P,33.25477334210726,17.197194719280056,0.0,75.59362038027685
109.69463617784889,89.48559408122269,0.8157700066221916,0.015899649352075995,31,0.08542853846391334,0.05804190480813741,1.5804039780156542,0.572891086666085,-0.6852639711823565,C,71.79570703892234,40.251860094315965,84.21195247387983,0.0
109.69463617784889,89.48559408122269,0.8157700066221916,0.015899649352075995,31,0.08542853846391334,0.05804190480813741,1.5804039780156542,0.572891086666085,-0.6852639711823565,P,17.13589908725987,17.43227442023481,0.0,92.95548949447154
94.84376439178935,126.79357922929081,1.3368678483228504,0.03237755907821802,33,0.04428254215905145,0.09701360759593053,1.7897271986875163,0.6230844297755305,-0.8338006601246183,C,68.75245907011353,47.34433190505444,82.68764793747552,0.0
94.84376439178935,126.79357922929081,1.3368678483228504,0.03237755907821802,33,0.04428254215905145,0.09701360759593053,1.7897271986875163,0.6230844297755305,-0.8338006601246183,P,19.699861992848355,12.287070891978013,0.0,87.73496544300393
104.5615153730871,62.167582586110065,0.5945551034172489,0.026763789767737294,22,0.03571734657459962,0.03745591999651824,1.8157830168024793,0.6888413755462788,-0.8391312560526865,C,74.78864510457403,34.41184405850711,72.9800605104068,0.0
104.5615153730871,62.167582586110065,0.5945551034172489,0.026763789767737294,22,0.03571734657459962,0.03745591999651824,1.8157830168024793,0.6888413755462788,-0.8391312560526865,P,3.4156724147077444,8.041421851597024,0.0,39.87463419196719
108.50377510747126,169.4194520641839,1.561415276992682,0.019750948259276334,32,0.05260308214289463,0.05296789301927538,2.3847504874114804,0.5484402331856334,-0.5758290194354945,C,56.43531984144348,42.4634533841784,84.72320851716441,0.0
108.50377510747126,169.4194520641839,1.561415276992682,0.019750948259276334,32,0.05260308214289463,0.05296789301927538,2.3847504874114804,0.5484402331856334,-0.5758290194354945,P,37.98638606223705,14.173396777912286,0.0,87.24715622580896
108.81208139437099,55.83642209727449,0.5131454281708372,0.014072298592416533,5,0.08364861791543485,0.07009989232893041,1.5459767337906913,0.5886275194585568,-0.5661786283506351,C,58.91544961532772,14.920432255356046,44.16145818002631,0.0
108.81208139437099,55.83642209727449,0.5131454281708372,0.014072298592416533,5,0.08364861791543485,0.07009989232893041,1.5459767337906913,0.5886275194585568,-0.5661786283506351,P,3.147998239543026,11.53179819003719,0.0,43.050255046622624
95.10347979364343,41.94126111478682,0.4410065878324476,0.030392383652514593,16,0.02037375514944132,0.08323620916177679,2.4082712511003903,0.5765136591167433,-0.6270530369530869,C,74.21915666570965,33.19139710150238,69.7750455720864,0.0
95.10347979364343,41.94126111478682,0.4410065878324476,0.030392383652514593,16,0.02037375514944132,0.08323620916177679,2.4082712511003903,0.5765136591167433,-0.6270530369530869,P,3.4231102433760077,12.61548683581303,0.0,68.1870251694341
91.57231769229716,123.38055143099454,1.3473564341308903,0.03358485540265184,2,0.011437459226057684,0.07901815442520868,1.5777587448410069,0.5336529055928257,-0.8069328154870502,C,2.5417638422772795,8.686175171762057,24.66200093951428,0.0
91.57231769229716,123.38055143099454,1.3473564341308903,0.03358485540265184,2,0.011437459226057684,0.07901815442520868,1.5777587448410069,0.5336529055928257,-0.8069328154870502,P,26.11146395898744,5.515731316328288,0.0,16.958716204723082
94.83369133720764,91.04545238789483,0.9600538701394352,0.023487110015361475,36,0.07479897448924742,0.08604908435947693,2.282592822786146,0.5614978910528475,-0.8393118753290967,C,77.52798579593716,50.04945353786872,87.95066648899966,0.0
94.83369133720764,91.04545238789483,0.9600538701394352,0.023487110015361475,36,0.07479897448924742,0.08604908435947693,2.282592822786146,0.5614978910528475,-0.8393118753290967,P,17.125026038951823,15.130406773831652,0.0,103.3360701925464
105.10569863973481,106.75947999952396,1.0157344595125877,0.01951606661430441,15,0.06560735929931664,0.016683468857973262,1.6125718877305961,0.6111628341934212,-0.526754256300181,C,34.38124503233886,19.16952882414995,49.162529072725874,0.0
