# n_datapoints (per type)  : 50000 
# steps/maturity : 200 
# n_paths/option : 15000 
# Stock price : (90, 110) 
# Strike price : (0.4, 1.6) 
# Maturity : (1, 60) 
# Interest rate : (0.01, 0.035) 
# Volatility : (0.05, 0.45) 
# Skewness : (-0.35, -0.05) 
# Kurtosis : (0.55, 0.95) 
# Seed values : 53 
# Seed paths : 84 
# Forward pricing : False 
stock_price,strike_price,strike_price_percent,interest_rate,skewness,volatility,kurtosis,maturity,call/put,opt_standard,opt_asianmean,opt_lookbackmin,opt_lookbackmax
90.0769573088272,113.32589384596196,1.2581008199180863,0.032619738507695215,-0.06276992420163868,0.19549622855237814,0.9303431964134425,26,C,52.67170623085378,35.025661520977984,66.84043318737703,0.0
90.0769573088272,113.32589384596196,1.2581008199180863,0.032619738507695215,-0.06276992420163868,0.19549622855237814,0.9303431964134425,26,P,10.398490669687007,5.618807570212896,0.0,40.08342620133727
92.62812020158441,61.083560572758536,0.6594494246436591,0.014211667076778779,-0.24588866512776536,0.39783587883389027,0.8343411988214753,30,C,76.53534589225175,46.40706469142577,81.94795288261113,0.0
92.62812020158441,61.083560572758536,0.6594494246436591,0.014211667076778779,-0.24588866512776536,0.39783587883389027,0.8343411988214753,30,P,24.888190652798883,29.46616604354196,0.0,195.35314523937325
91.60971713144451,106.95792179086597,1.1675390465118385,0.01726262423990498,-0.0789270090951974,0.19611316277587443,0.7474228662532947,38,C,55.25373497818749,35.9095947077073,69.90220963540975,0.0
91.60971713144451,106.95792179086597,1.1675390465118385,0.01726262423990498,-0.0789270090951974,0.19611316277587443,0.7474228662532947,38,P,18.537356382018128,10.658189229105165,0.0,67.26876234743388
108.41708376042507,86.27593477609972,0.7957780433086374,0.028690418060790458,-0.3474088465314089,0.16110842937363445,0.7846738840256706,23,C,80.50738647495704,47.27024267446407,88.36650969606754,0.0
108.41708376042507,86.27593477609972,0.7957780433086374,0.028690418060790458,-0.3474088465314089,0.16110842937363445,0.7846738840256706,23,P,15.565766017376301,17.065999718236668,0.0,105.73596044916063
95.69526063893022,88.94819978101262,0.9294943050170992,0.03215901300399224,-0.1321636772291292,0.39112142292747987,0.929092818625806,54,C,116.23023737723554,82.97053047466076,119.14664045966629,0.0
95.69526063893022,88.94819978101262,0.9294943050170992,0.03215901300399224,-0.1321636772291292,0.39112142292747987,0.929092818625806,54,P,10.401786519687068,13.978533897158623,0.0,197.50669505655995
97.91642151352264,89.9396978397366,0.9185353840501164,0.02061556368928693,-0.2018971047139744,0.28784466060096553,0.9338156279212971,25,C,68.10142548728334,40.99184198301629,78.76140309356822,0.0
97.91642151352264,89.9396978397366,0.9185353840501164,0.02061556368928693,-0.2018971047139744,0.28784466060096553,0.9338156279212971,25,P,23.604919684869014,19.457348738044015,0.0,114.2115373588167
108.60304371184127,83.58998802004318,0.7696836586075271,0.03187378358513799,-0.22965830344585036,0.11780715795741026,0.7572125683352433,53,C,91.81983381402854,59.21668965462839,94.9192019604135,0.0
108.60304371184127,83.58998802004318,0.7696836586075271,0.03187378358513799,-0.22965830344585036,0.11780715795741026,0.7572125683352433,53,P,2.97068347662572,5.810810021812022,0.0,65.73710823481312
99.8994546741774,74.0945464476235,0.7416912003101843,0.032755929793740354,-0.21094757169331216,0.36979817990023983,0.6822838321812874,49,C,84.291083434327,57.89506244768118,87.13553836283366,0.0
99.8994546741774,74.0945464476235,0.7416912003101843,0.032755929793740354,-0.21094757169331216,0.36979817990023983,0.6822838321812874,49,P,8.819741439864432,15.072711798213001,0.0,154.03643261884983
106.47748406465999,92.3986215499791,0.8677761534435646,0.023918553521261297,-0.23195995536047415,0.09306864840464951,0.593850740784197,13,C,47.80246301722074,24.229824465869413,54.47738692070399,0.0
106.47748406465999,92.3986215499791,0.8677761534435646,0.023918553521261297,-0.23195995536047415,0.09306864840464951,0.593850740784197,13,P,9.055386289271679,9.160036469162678,0.0,43.37639715720207
99.91793640510275,130.66063849841052,1.3076795138028667,0.021044228229258083,-0.32396548549354176,0.08074783299479829,0.8242387472152154,10,C,30.36484972818233,23.505882472179326,53.58051828370382,0.0
99.91793640510275,130.66063849841052,1.3076795138028667,0.021044228229258083,-0.32396548549354176,0.08074783299479829,0.8242387472152154,10,P,37.08776544592746,14.20314289499997,0.0,60.62431567608326
109.69283653645196,165.23400532748863,1.5063335997568066,0.02359747951417504,-0.28770106505010096,0.3325796124539611,0.6177478406880437,6,C,27.218055172682586,24.993978153310948,57.470150662627574,0.0
109.69283653645196,165.23400532748863,1.5063335997568066,0.02359747951417504,-0.28770106505010096,0.3325796124539611,0.6177478406880437,6,P,61.5007936434687,18.101939050680226,0.0,72.09683124791204
94.61313675125788,93.32440674185312,0.9863789527157006,0.03047907610479366,-0.08595516804974418,0.1593429527103296,0.8808648570925294,19,C,48.44025099416811,28.078704028772158,57.247977144712486,0.0
94.61313675125788,93.32440674185312,0.9863789527157006,0.03047907610479366,-0.08595516804974418,0.1593429527103296,0.8808648570925294,19,P,6.548187527627792,5.343374210449267,0.0,31.774694894240795
99.94414002944566,103.82284096544788,1.0388086878816454,0.015660889747562128,-0.22635551042047614,0.21452423952492466,0.8397881440516156,59,C,88.98336573193353,59.6429491483333,98.31756921013914,0.0
99.94414002944566,103.82284096544788,1.0388086878816454,0.015660889747562128,-0.22635551042047614,0.21452423952492466,0.8397881440516156,59,P,23.035010173501004,19.49341446179878,0.0,155.1715745441451
