# n_datapoints (per type)  : 11 
# steps/maturity : 200 
# n_paths/option : 15000 
# Stock price : (90, 110) 
# Strike price : (0.4, 1.6) 
# Maturity : (1, 60) 
# Interest_rate : (0.01, 0.035) 
# Volatility : (0.01, 0.2) 
# Seed values : 42 
# Seed paths : 73 
stock_price,strike_price,strike_price_percent,interest_rate,volatility,maturity,call/put,opt_standard,opt_asianmean,opt_lookbackmin,opt_lookbackmax,opt_exact_standard
93.41048247374583,41.21889100821571,0.4412662253382621,0.027701814444901135,0.1262520499972521,15,C,66.22281179445697,20.07550035024849,44.7362850995871,0.0,66.25120691733247
93.41048247374583,41.21889100821571,0.4412662253382621,0.027701814444901135,0.1262520499972521,15,P,0.04554429952340399,3.1514142898684074,0.0,21.917064116426502,0.04487224053062833
102.15089703802877,101.55967748767424,0.9942122921335244,0.02502787529358022,0.06533353663762796,29,C,52.96824379900995,29.67835558515721,56.57790922560196,0.0,53.17135423958426
102.15089703802877,101.55967748767424,0.9942122921335244,0.02502787529358022,0.06533353663762796,29,P,0.18117119850208022,0.25987110608779534,0.0,8.348368677058332,0.16855764680873042
108.97771074506667,77.43258427573107,0.7105359779200204,0.03424774630404986,0.06550748322169145,8,C,50.36831640349766,14.302572415250637,31.073475492359133,0.0,50.10389486225372
108.97771074506667,77.43258427573107,0.7105359779200204,0.03424774630404986,0.06550748322169145,8,P,0.001536436664077978,0.5072415548596971,0.0,6.2195009940281505,0.001723103307867055
101.84829137724086,94.53385187026846,0.9281829924875217,0.011452090304204987,0.10970372201012518,39,C,47.89473619209815,25.657747447399878,57.353200511954306,0.0,48.05968046894973
101.84829137724086,94.53385187026846,0.9281829924875217,0.011452090304204987,0.10970372201012518,39,P,6.711974859780184,6.287269474872364,0.0,39.89460057452072,6.692219939483795
90.92900825439996,49.687782098023945,0.5464458818137347,0.03165440364437338,0.092069553542002,52,C,81.29056817738724,46.336140128860215,75.62223115091359,0.0,81.35019017616112
90.92900825439996,49.687782098023945,0.5464458818137347,0.03165440364437338,0.092069553542002,52,P,0.002697050040838603,0.13997754048415506,0.0,11.980544987677906,0.0016847733773771197
91.30103185970559,136.14668194493245,1.4911844824945386,0.010514612357395061,0.036503833523887946,43,C,11.139110587228263,18.169983975351883,36.90475006861526,0.0,11.015161348090437
91.30103185970559,136.14668194493245,1.4911844824945386,0.010514612357395061,0.036503833523887946,43,P,6.253323188730472,0.22542475743308482,0.0,5.535332078516328,6.340520641644382
109.31264066149119,130.63152874437702,1.1950267412247784,0.030811066020010547,0.07960875022580143,21,C,42.14846386100343,29.234707240486408,57.41292655724984,0.0,42.3793570118149
109.31264066149119,130.63152874437702,1.1950267412247784,0.030811066020010547,0.07960875022580143,21,P,1.4367189171316113,0.4694862717893852,0.0,10.519486528027485,1.4650331318197711
91.95344228012767,97.10764745070477,1.0560523352119358,0.014585112746335845,0.047938018610088354,19,C,19.62240533287738,12.270433546901641,27.193550848960438,0.0,19.607806854333617
91.95344228012767,97.10764745070477,1.0560523352119358,0.014585112746335845,0.047938018610088354,19,P,1.2723721050543861,0.6419565975264504,0.0,6.597381945088716,1.258630758779013
106.16794696232922,82.17964877752908,0.7740532913072933,0.015308477766956905,0.09665329700123683,39,C,63.42361611363736,30.008144792880476,62.7267568204604,0.0,62.374379628532814
106.16794696232922,82.17964877752908,0.7740532913072933,0.015308477766956905,0.09665329700123683,39,P,1.3779845794185799,3.2570633106895492,0.0,28.678739269321287,1.4417010570115272
103.68466053024314,64.47374997449789,0.6218253466306325,0.017606056073988442,0.1077045432985862,23,C,61.34859386319504,22.575724523849487,50.6170785830863,0.0,61.28915352499208
103.68466053024314,64.47374997449789,0.6218253466306325,0.017606056073988442,0.1077045432985862,23,P,0.6341658375768301,4.017421771200727,0.0,27.107680938982643,0.6095999104427818
96.09227538346741,98.40633356437077,1.024081625413373,0.014545624180177515,0.1591834326646726,58,C,64.1488721945407,39.22702597215043,75.71671844067659,0.0,64.15043381036782
96.09227538346741,98.40633356437077,1.024081625413373,0.014545624180177515,0.1591834326646726,58,P,10.41453159710065,8.07265433759122,0.0,68.06123374141667,10.386588457280617
