# Variance Gamma model
# Maturity = 10
# Interest_rate = 0.001 
# Theta = -0.2 
# Nu = 0.75 
# Sigma = 0.25 
# Start_price = 100 
# Strike_price = 100 
# Option = Plainvanilla 
# Number of iterations = 20
time_step,paths,time,option_value,variance
100,1000,0.1113732,33.41494869015846,9663.463069879723
100,1000,0.11557880000000004,32.265558087292206,8713.437809034882
200,1000,0.23580730000000003,34.16207715745454,9890.732446756665
100,1000,0.11773899999999993,32.85759621039617,9460.04479069572
300,1000,0.35881470000000004,32.46618996727265,9138.31330288572
100,1000,0.11528530000000003,35.73174718968739,10692.76517223652
200,1000,0.24079770000000006,34.92053420307441,11029.683200314295
100,1000,0.11352899999999999,34.001807880951134,9336.924669783053
100,1000,0.12243550000000003,39.157257605506615,10730.328474241465
200,1000,0.24679879999999998,31.016531910683902,8692.896930411356
300,1000,0.36525019999999997,33.62648214662299,8743.898165833007
100,1000,0.12078409999999995,36.16817838447844,9550.739919306441
100,1000,0.12376180000000003,33.88388553889065,9927.393094778054
200,1000,0.25024080000000004,35.63294817820076,10020.441703000675
100,1000,0.11636279999999988,34.514056563506784,9941.814704839171
300,1000,0.35750460000000006,35.953357128670675,9845.539916830969
100,1000,0.11566259999999984,37.319915222536224,12033.891306833615
200,1000,0.23703879999999988,36.831762878159836,9793.989801408847
100,1000,0.11202730000000005,38.44583685857618,11076.162444054351
100,1000,0.11925689999999989,36.02470070072228,10774.044412918714
300,1000,0.3596792,35.98778060591019,9014.268701027087
200,1000,0.24229499999999993,34.965448992112435,8692.531287357291
100,1000,0.12074989999999985,36.348495364997845,9650.037317209519
100,1000,0.11557050000000002,36.41907456169362,11079.93348971126
200,1000,0.23708930000000006,32.973780107765165,8049.253704484081
100,1000,0.11521680000000001,35.49685880665869,9022.765693825871
300,1000,0.3614455999999999,34.583357066783435,9906.706449637875
100,1000,0.11583520000000003,33.77390366513547,9169.706455439862
200,1000,0.23382599999999987,37.94009950938035,10478.843205553056
100,1000,0.11185169999999989,36.66677164126128,10641.993283409913
100,1000,0.11942640000000004,33.40454821270751,10295.79978918196
200,1000,0.23890159999999971,32.59087823669762,8469.353264036108
300,1000,0.3658387000000003,35.59295673139033,10793.055298546475
100,1000,0.11389449999999979,35.98004258675339,11662.25442364401
100,1000,0.11464629999999998,31.829172712440847,7806.434664687021
200,1000,0.23366100000000012,37.73253863863707,12476.44005507621
300,1000,0.35974119999999976,35.697871417048695,9969.827363438035
200,1000,0.2318553999999997,34.456127387177986,9101.73857055728
400,1000,0.48712769999999983,32.4551061481138,9159.345111280372
200,1000,0.240869,36.87600362796261,11942.962102686151
300,1000,0.3782890000000001,36.767062010249255,11738.810457881496
200,1000,0.23911550000000004,31.483012187470486,9101.08254222965
300,1000,0.3638627999999997,34.986361269325805,9678.620356787866
400,1000,0.49367969999999994,34.96553469167417,9797.058454088334
200,1000,0.23699709999999996,31.988484246845307,8341.992218124153
200,1000,0.24230820000000008,30.65752867325447,8160.394413160818
300,1000,0.37114889999999967,40.26117428168806,11907.28576062267
400,1000,0.48777870000000023,26.911613422961192,7053.263024520644
200,1000,0.2399868000000005,32.845918280628844,8419.443502019576
300,1000,0.35488010000000036,34.798337330236826,10050.082273085569
200,1000,0.2352793000000002,33.807108960420535,9194.511683745735
400,1000,0.49250360000000004,36.00585099678642,9720.439836737276
200,1000,0.24486480000000022,34.14981497514957,9451.489734518174
300,1000,0.37278270000000013,33.31987626351046,9192.39131385162
200,1000,0.23104240000000065,34.74875643389811,10227.595644372494
300,1000,0.3619097,34.12796131795993,10343.985897578495
200,1000,0.2396193000000002,37.3440957705716,10236.131552556406
400,1000,0.5118967999999997,35.00253397366068,9532.65625436464
300,1000,0.3592772999999996,34.71196101565615,8865.690784093425
400,1000,0.4918920999999994,34.494723237157956,8262.41536961609
500,1000,0.6332750999999996,34.521106340687886,9871.653616503208
300,1000,0.36738280000000056,32.31761257146957,8925.540069578388
400,1000,0.4963860999999996,32.13364582137637,8315.422810922912
300,1000,0.36608209999999985,33.134839968273035,9617.530554285227
500,1000,0.6279443000000002,34.0597908453594,8706.891513064329
300,1000,0.3592475999999998,33.34493126890304,8888.989785468657
400,1000,0.48735140000000055,32.84843542493894,9101.285697442692
300,1000,0.35855550000000047,35.142981498690716,13585.112960512814
500,1000,0.6368685999999997,30.185904134315592,8742.284473089092
400,1000,0.49093630000000044,32.596907049592545,9046.466045257155
300,1000,0.3607050000000003,32.08892066398328,8837.285923522777
300,1000,0.37475900000000006,34.76166274296077,9948.294227729719
400,1000,0.5098776999999997,37.73683500458627,12638.611922747958
500,1000,0.6506138000000004,34.564082309356664,9680.436770320242
400,1000,0.4883170999999997,34.64734873922595,10306.070598382385
500,1000,0.6416728000000003,29.878411400444914,7443.113873912473
600,1000,0.7864239,33.51587911840687,9876.218008594218
400,1000,0.48365099999999916,33.25039594199209,9150.843490326919
500,1000,0.6249582,36.1792141256798,11883.152612685117
400,1000,0.5021225000000005,34.997744785835,10040.57657564807
600,1000,0.7862209999999994,35.52711855832631,9953.87294370976
500,1000,0.6324383999999998,34.900529998679616,9492.89688151069
400,1000,0.4924001000000011,33.22611291616153,9221.70818446555
600,1000,0.7795139000000013,31.035520386052877,8448.182905838126
400,1000,0.5015660999999998,33.64105079308643,10497.058581451573
500,1000,0.6324836999999999,32.41413826834415,8473.331331817786
400,1000,0.4894091000000014,31.064341319077908,8039.086677655693
600,1000,0.798941000000001,38.56776054142442,11228.950991810523
500,1000,0.6378828999999993,34.34941748793512,9373.946826108862
