# Maturity = 10 
# Interest_rate = 0.001 
# Volatility = 0.1 
# Start_price = 100 
# Strike_price = 100 
# Option = Plainvanilla 
time_step,paths,time,accuracy_absolute,accuracy_normal,exact_value
100,1000,0.039293999999999996,0.0333316035146169,-0.0333316035146169,13.004496665816895
100,1000,0.04256950000000004,0.037988745287050506,0.037988745287050506,13.004496665816895
200,1000,0.081366,0.03254795173559168,-0.03254795173559168,13.004496665816895
300,1000,0.12363519999999995,0.07577628548572252,-0.07577628548572252,13.004496665816895
100,1000,0.042081699999999944,0.025341933172682293,-0.025341933172682293,13.004496665816895
200,1000,0.08213389999999993,0.026053141790915356,0.026053141790915356,13.004496665816895
100,1000,0.04153639999999992,0.04643228295927503,0.04643228295927503,13.004496665816895
100,1000,0.041569499999999926,0.023944087980873205,-0.023944087980873205,13.004496665816895
200,1000,0.08570109999999997,0.07964036591106383,-0.07964036591106383,13.004496665816895
300,1000,0.1291789000000001,0.010853088473739484,-0.010853088473739484,13.004496665816895
100,1000,0.047292,0.01057730465259374,-0.01057730465259374,13.004496665816895
100,1000,0.042128000000000054,0.047313206438190106,-0.047313206438190106,13.004496665816895
200,1000,0.08305019999999996,0.006659546312632797,0.006659546312632797,13.004496665816895
100,1000,0.04283440000000005,0.0299213102327129,-0.0299213102327129,13.004496665816895
300,1000,0.12637239999999994,0.05380005971601614,-0.05380005971601614,13.004496665816895
100,1000,0.04181950000000001,0.03463233748856436,0.03463233748856436,13.004496665816895
200,1000,0.08233140000000005,0.0037289556198131413,-0.0037289556198131413,13.004496665816895
100,1000,0.04131599999999991,0.002678063520986155,0.002678063520986155,13.004496665816895
100,1000,0.04171209999999992,0.04162623496900693,-0.04162623496900693,13.004496665816895
200,1000,0.0923866000000001,0.012812749139819923,0.012812749139819923,13.004496665816895
100,1000,0.04342220000000008,0.15464881666977365,0.15464881666977365,13.004496665816895
300,1000,0.13519720000000002,0.015525653925485139,0.015525653925485139,13.004496665816895
100,1000,0.04781650000000004,0.07775483006244532,-0.07775483006244532,13.004496665816895
200,1000,0.082959,0.0016561320325889006,-0.0016561320325889006,13.004496665816895
100,1000,0.04260989999999998,0.020207746142154006,0.020207746142154006,13.004496665816895
100,1000,0.0431435,0.019354282264103448,-0.019354282264103448,13.004496665816895
300,1000,0.13587800000000005,0.015039777705329705,0.015039777705329705,13.004496665816895
200,1000,0.08430510000000002,0.029360110908807874,-0.029360110908807874,13.004496665816895
100,1000,0.041001100000000124,0.13268689460681593,0.13268689460681593,13.004496665816895
100,1000,0.042536600000000035,0.025994382139274384,-0.025994382139274384,13.004496665816895
200,1000,0.0853794000000001,0.0988209560102985,0.0988209560102985,13.004496665816895
100,1000,0.04275399999999996,0.07788520245075566,0.07788520245075566,13.004496665816895
300,1000,0.12803469999999995,0.016408514813843072,0.016408514813843072,13.004496665816895
100,1000,0.04148810000000003,0.04327759586628971,-0.04327759586628971,13.004496665816895
200,1000,0.08217199999999991,0.04020916522407969,0.04020916522407969,13.004496665816895
100,1000,0.04189450000000017,0.09083319367102385,-0.09083319367102385,13.004496665816895
300,1000,0.1263261,0.02888304850432828,0.02888304850432828,13.004496665816895
200,1000,0.08258030000000005,0.019365087041801003,0.019365087041801003,13.004496665816895
200,1000,0.08605469999999982,0.13653982068692397,0.13653982068692397,13.004496665816895
300,1000,0.12839519999999993,0.055763672015220346,-0.055763672015220346,13.004496665816895
400,1000,0.17025330000000016,0.03785439662353246,-0.03785439662353246,13.004496665816895
200,1000,0.09171949999999995,0.02174107586588604,0.02174107586588604,13.004496665816895
300,1000,0.12423760000000006,0.10646958743464416,0.10646958743464416,13.004496665816895
200,1000,0.08349679999999982,0.008061442931544378,-0.008061442931544378,13.004496665816895
400,1000,0.16931419999999986,0.07678458598909293,-0.07678458598909293,13.004496665816895
200,1000,0.08330599999999988,0.10265171575800373,-0.10265171575800373,13.004496665816895
300,1000,0.12392850000000011,0.02019875806587235,-0.02019875806587235,13.004496665816895
200,1000,0.08380080000000012,0.11513758659723045,0.11513758659723045,13.004496665816895
400,1000,0.16881250000000003,0.11577886411684021,-0.11577886411684021,13.004496665816895
300,1000,0.12402840000000004,0.022712295815880152,-0.022712295815880152,13.004496665816895
200,1000,0.0861943999999999,0.043550385823322255,-0.043550385823322255,13.004496665816895
200,1000,0.08565769999999984,0.11821886706518603,0.11821886706518603,13.004496665816895
300,1000,0.1354031,0.12215547919934389,0.12215547919934389,13.004496665816895
400,1000,0.16769689999999993,0.0021952072945912115,0.0021952072945912115,13.004496665816895
200,1000,0.0818038000000001,0.019269614322694695,-0.019269614322694695,13.004496665816895
300,1000,0.12927310000000025,0.095433508309285,0.095433508309285,13.004496665816895
200,1000,0.0842527999999998,0.10683342072395034,-0.10683342072395034,13.004496665816895
400,1000,0.16748419999999986,0.0040023288495891155,0.0040023288495891155,13.004496665816895
300,1000,0.12354090000000006,0.033947878866291796,-0.033947878866291796,13.004496665816895
400,1000,0.1656632,0.01856201885535679,0.01856201885535679,13.004496665816895
500,1000,0.20476660000000013,0.0374773652436273,-0.0374773652436273,13.004496665816895
300,1000,0.12583309999999992,0.12052040180237361,-0.12052040180237361,13.004496665816895
400,1000,0.1676633999999999,0.017669847553796417,0.017669847553796417,13.004496665816895
300,1000,0.12671509999999975,0.1396480203666175,0.1396480203666175,13.004496665816895
500,1000,0.20478629999999987,0.046476800614539716,-0.046476800614539716,13.004496665816895
300,1000,0.1256816999999999,0.02509170479278469,-0.02509170479278469,13.004496665816895
400,1000,0.16362520000000025,0.007974355588457667,0.007974355588457667,13.004496665816895
