# Heston model
# Maturity = 10
# Interest_rate = 0.001 
# Start_vol = 0.05 
# long variance = 0.05 
# Rate mean reversion = 1.5 
# Volatility of vol = 0.6 
# Correlation = -0.5 
# Start_price = 100 
# Strike_price = 100 
# Option = Plainvanilla 
# Number of iterations = 20 
time_step,paths,time,option_value,variance
100,1000,5.203718599999999,26.331512858043293,4574.100767900307
100,2000,10.3347596,25.562170074499598,4578.996270356188
100,1000,5.1465297,29.174908767147848,5583.630174677298
100,3000,15.4035823,25.59815850172613,4572.153389043445
100,1000,5.2190434,26.05792247008456,4612.044971561963
100,1000,5.4555811999999975,26.186569822820537,5006.428565177033
100,4000,21.0609448,26.296503990948818,4727.604262920249
100,2000,10.773181800000001,27.922120296254313,5380.337687765773
100,1000,5.2161626000000005,26.131746403048272,5566.890198142558
100,3000,15.654232599999998,28.22140024174222,5320.103751423239
100,1000,5.2200489999999995,27.559428654292997,5008.5126162759825
100,2000,10.4742015,25.77068300028077,4785.15716492435
100,1000,5.255108400000001,26.52596847164267,4759.260606087679
100,4000,20.803102,29.20738270810507,5612.737930759112
100,1000,5.173785900000006,24.963476794502103,4951.480344065673
100,2000,10.419822799999999,28.278885195527774,5459.148898257174
100,3000,15.421290599999999,26.46311458245399,5041.707686340643
100,1000,5.232919100000004,27.26167830043879,5257.2668234123885
100,1000,5.189010400000001,27.770464080910443,5231.3207552444865
100,2000,10.424335400000004,26.457437209861748,5211.7929825669535
100,1000,5.212809200000002,28.399035027257735,5135.778489347544
100,3000,15.513676099999998,27.084677819294527,5156.104845948178
100,4000,20.6889004,27.522912279153505,5336.278138577214
100,1000,5.189902999999994,27.294677740850478,5099.189099368561
100,2000,10.426921399999998,27.59747572096969,5102.074772892598
100,1000,5.222206299999996,26.490632783359484,4929.813956100401
100,1000,5.2269711,25.40406448689082,4826.120180396004
100,2000,10.415674200000005,27.311565089821396,5526.1103084122815
100,3000,15.436986500000003,26.90872182373096,5064.720951212752
100,1000,5.197797799999989,23.993389553732463,4508.326403032028
100,4000,20.9621151,26.91437950581788,5199.703889216144
100,1000,5.23966519999999,28.617792999402983,5363.543344060565
100,2000,10.450488000000007,25.962529138060578,4728.902960706748
100,1000,5.200563900000006,28.33937919837067,5002.148487990162
100,3000,15.610740700000008,27.194941248155736,5143.325654069161
100,1000,5.263977499999996,28.861071534585403,5487.320108058237
100,2000,10.501427399999997,28.25159927966979,5656.718278426517
100,1000,5.241364599999997,27.802786978949786,5188.1229294109235
100,4000,20.943410999999998,27.085321859180514,5143.872837458332
100,1000,5.211267699999993,22.14146435582669,3868.3902298438043
100,2000,10.450922199999994,27.274702309047125,5402.884922953946
100,3000,15.49868020000001,27.7044665401813,5535.662176385334
200,1000,10.354778800000005,24.88010022252869,4485.84431945865
100,2000,10.371187300000003,28.790093880113464,5188.277969825427
100,3000,15.5036482,26.658395869863817,4981.580472336013
100,4000,20.809894,26.304361089382184,4922.357732584269
200,1000,10.413356899999997,25.26246204197647,4741.555066478906
100,2000,10.432746200000011,27.073534738845584,4956.933055820596
200,1000,10.367202699999993,25.30750771548351,5767.357685568472
100,2000,10.355276799999999,26.408903194671268,4875.45213016477
100,3000,15.51261510000002,27.607303148616396,5292.802127530717
200,1000,10.353740799999997,25.842643689609,4623.815319732717
100,4000,20.857628399999996,28.42169513579612,5645.016908393432
100,2000,10.370420499999994,26.817075800330873,5103.830248654852
